"Source:","/nfs/nas/nfsshare/exports/robot/pcb/RPi_Hat_Template/RPi_Hat.sch"
"Date:","Sun 15 Nov 2020 11:34:44 AM MST"
"Tool:","Eeschema 5.1.8+dfsg1-1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","48"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"2","2","C4, C6","10uF","RPi_Hat-eagle-import:10UF-6.3V-20%(0603)","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"3","2","C5, C9","10nF","RPi_Hat-eagle-import:10NF_10000PF-50V-10%(0603)","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"4","1","I2C_HEADER_VOLTAGE_SELECT1","Jumper_3_Open","Jumper:Jumper_3_Open","Connector_PinSocket_2.00mm:PinSocket_1x03_P2.00mm_Vertical_SMD_Pin1Left","~"
"5","1","J1","RPi_GPIO","RPi_Hat-rescue:RPi_GPIO","RPi_Hat:Samtec_HLE-120-02-XXX-DV-BE-XX-XX",""
"6","1","j1","I2C_1","Connector:Conn_01x04_Male","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical_SMD_Pin1Left","~"
"7","1","J2","SEN_POW_EN","Connector_Generic:Conn_02x02_Odd_Even","Connector_PinHeader_2.00mm:PinHeader_2x02_P2.00mm_Vertical_SMD","~"
"8","1","J3","SPI_MISO_EN","Connector_Generic:Conn_02x04_Odd_Even","Connector_PinHeader_2.00mm:PinHeader_2x04_P2.00mm_Vertical_SMD","~"
"9","1","J4","MOTOR_1","Connector:Conn_01x06_Male","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical_SMD","~"
"10","1","J5","MOTOR_2","Connector:Conn_01x06_Male","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical_SMD","~"
"11","1","J6","MOTOR_4","Connector:Conn_01x06_Male","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical_SMD","~"
"12","1","J7","MOTOR_3","Connector:Conn_01x06_Male","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical_SMD","~"
"13","1","J8","SPI","Connector_Generic:Conn_02x06_Odd_Even","Connector_PinHeader_2.00mm:PinHeader_2x06_P2.00mm_Vertical_SMD","~"
"14","1","J9","EXTERNAL_POWER","Connector_Generic:Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical_SMD_Pin1Left","~"
"15","1","JP1","TRANSISTOR_SOURCE_SELECT","Jumper:Jumper_3_Open","Connector_PinSocket_2.00mm:PinSocket_1x03_P2.00mm_Vertical_SMD_Pin1Left","~"
"16","12","Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9, Q10, Q11, Q12","MMBT3904","Transistor_BJT:MMBT3904","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/2N3903-D.PDF"
"17","12","R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12","1K","Device:R_Small_US","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"18","2","U1, U2","LSM9DS1","RPi_Hat-eagle-import:LSM9DS1","Package_LGA:LGA-24L_3x3.5mm_P0.43mm",""
